case_id,regime,degradation_condition,question_family,property,embedded_category,embedded_required,left_annotator,left_category,right_annotator,right_category,agreed,needs_adjudication
manuscript-aer-complete-actor_identity-001,aer,complete,actor_identity,actor_identity,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-complete-actor_identity-001,aer,complete,actor_identity,principal_authority,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-complete-actor_identity-001,aer,complete,actor_identity,action_boundary,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-complete-actor_identity-001,aer,complete,actor_identity,policy_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-complete-actor_identity-001,aer,complete,actor_identity,decision_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-complete-actor_identity-001,aer,complete,actor_identity,data_resource_touch,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-complete-actor_identity-001,aer,complete,actor_identity,lifecycle_context,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-complete-actor_identity-001,aer,complete,actor_identity,verification_strength,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-complete-principal_authority-002,mat,complete,principal_authority,actor_identity,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-complete-principal_authority-002,mat,complete,principal_authority,principal_authority,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-complete-principal_authority-002,mat,complete,principal_authority,action_boundary,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-complete-principal_authority-002,mat,complete,principal_authority,policy_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-complete-principal_authority-002,mat,complete,principal_authority,decision_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-complete-principal_authority-002,mat,complete,principal_authority,data_resource_touch,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-complete-principal_authority-002,mat,complete,principal_authority,lifecycle_context,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-complete-principal_authority-002,mat,complete,principal_authority,verification_strength,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-complete-action_boundary-003,ieec,complete,action_boundary,actor_identity,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-complete-action_boundary-003,ieec,complete,action_boundary,principal_authority,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-complete-action_boundary-003,ieec,complete,action_boundary,action_boundary,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-complete-action_boundary-003,ieec,complete,action_boundary,policy_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-complete-action_boundary-003,ieec,complete,action_boundary,decision_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-complete-action_boundary-003,ieec,complete,action_boundary,data_resource_touch,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-complete-action_boundary-003,ieec,complete,action_boundary,lifecycle_context,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-complete-action_boundary-003,ieec,complete,action_boundary,verification_strength,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-complete-policy_basis-004,dcc_hdp,complete,policy_basis,actor_identity,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-complete-policy_basis-004,dcc_hdp,complete,policy_basis,principal_authority,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-complete-policy_basis-004,dcc_hdp,complete,policy_basis,action_boundary,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-complete-policy_basis-004,dcc_hdp,complete,policy_basis,policy_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-complete-policy_basis-004,dcc_hdp,complete,policy_basis,decision_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-complete-policy_basis-004,dcc_hdp,complete,policy_basis,data_resource_touch,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-complete-policy_basis-004,dcc_hdp,complete,policy_basis,lifecycle_context,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-complete-policy_basis-004,dcc_hdp,complete,policy_basis,verification_strength,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-prov-complete-decision_basis-005,prov,complete,decision_basis,actor_identity,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-prov-complete-decision_basis-005,prov,complete,decision_basis,principal_authority,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-prov-complete-decision_basis-005,prov,complete,decision_basis,action_boundary,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-prov-complete-decision_basis-005,prov,complete,decision_basis,policy_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-prov-complete-decision_basis-005,prov,complete,decision_basis,decision_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-prov-complete-decision_basis-005,prov,complete,decision_basis,data_resource_touch,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-prov-complete-decision_basis-005,prov,complete,decision_basis,lifecycle_context,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-prov-complete-decision_basis-005,prov,complete,decision_basis,verification_strength,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-llm_audit_trails-complete-data_resource_touch-006,llm_audit_trails,complete,data_resource_touch,actor_identity,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-llm_audit_trails-complete-data_resource_touch-006,llm_audit_trails,complete,data_resource_touch,principal_authority,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-llm_audit_trails-complete-data_resource_touch-006,llm_audit_trails,complete,data_resource_touch,action_boundary,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-llm_audit_trails-complete-data_resource_touch-006,llm_audit_trails,complete,data_resource_touch,policy_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-llm_audit_trails-complete-data_resource_touch-006,llm_audit_trails,complete,data_resource_touch,decision_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-llm_audit_trails-complete-data_resource_touch-006,llm_audit_trails,complete,data_resource_touch,data_resource_touch,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-llm_audit_trails-complete-data_resource_touch-006,llm_audit_trails,complete,data_resource_touch,lifecycle_context,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-llm_audit_trails-complete-data_resource_touch-006,llm_audit_trails,complete,data_resource_touch,verification_strength,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aegis_ntc-complete-lifecycle_context-007,aegis_ntc,complete,lifecycle_context,actor_identity,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aegis_ntc-complete-lifecycle_context-007,aegis_ntc,complete,lifecycle_context,principal_authority,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aegis_ntc-complete-lifecycle_context-007,aegis_ntc,complete,lifecycle_context,action_boundary,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aegis_ntc-complete-lifecycle_context-007,aegis_ntc,complete,lifecycle_context,policy_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aegis_ntc-complete-lifecycle_context-007,aegis_ntc,complete,lifecycle_context,decision_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aegis_ntc-complete-lifecycle_context-007,aegis_ntc,complete,lifecycle_context,data_resource_touch,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aegis_ntc-complete-lifecycle_context-007,aegis_ntc,complete,lifecycle_context,lifecycle_context,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aegis_ntc-complete-lifecycle_context-007,aegis_ntc,complete,lifecycle_context,verification_strength,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dynamic_capabilities-complete-verification_strength-008,dynamic_capabilities,complete,verification_strength,actor_identity,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dynamic_capabilities-complete-verification_strength-008,dynamic_capabilities,complete,verification_strength,principal_authority,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dynamic_capabilities-complete-verification_strength-008,dynamic_capabilities,complete,verification_strength,action_boundary,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dynamic_capabilities-complete-verification_strength-008,dynamic_capabilities,complete,verification_strength,policy_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dynamic_capabilities-complete-verification_strength-008,dynamic_capabilities,complete,verification_strength,decision_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dynamic_capabilities-complete-verification_strength-008,dynamic_capabilities,complete,verification_strength,data_resource_touch,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dynamic_capabilities-complete-verification_strength-008,dynamic_capabilities,complete,verification_strength,lifecycle_context,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dynamic_capabilities-complete-verification_strength-008,dynamic_capabilities,complete,verification_strength,verification_strength,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-missing_delegation-principal_authority-009,aer,missing_delegation,principal_authority,actor_identity,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-missing_delegation-principal_authority-009,aer,missing_delegation,principal_authority,principal_authority,opaque,True,construction_rule_oracle_a,opaque,construction_rule_oracle_b,opaque,True,False
manuscript-aer-missing_delegation-principal_authority-009,aer,missing_delegation,principal_authority,action_boundary,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-missing_delegation-principal_authority-009,aer,missing_delegation,principal_authority,policy_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-missing_delegation-principal_authority-009,aer,missing_delegation,principal_authority,decision_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-missing_delegation-principal_authority-009,aer,missing_delegation,principal_authority,data_resource_touch,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-missing_delegation-principal_authority-009,aer,missing_delegation,principal_authority,lifecycle_context,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-aer-missing_delegation-principal_authority-009,aer,missing_delegation,principal_authority,verification_strength,partial,True,construction_rule_oracle_a,partial,construction_rule_oracle_b,partial,True,False
manuscript-mat-missing_delegation-action_boundary-010,mat,missing_delegation,action_boundary,actor_identity,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-missing_delegation-action_boundary-010,mat,missing_delegation,action_boundary,principal_authority,opaque,True,construction_rule_oracle_a,opaque,construction_rule_oracle_b,opaque,True,False
manuscript-mat-missing_delegation-action_boundary-010,mat,missing_delegation,action_boundary,action_boundary,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-missing_delegation-action_boundary-010,mat,missing_delegation,action_boundary,policy_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-missing_delegation-action_boundary-010,mat,missing_delegation,action_boundary,decision_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-missing_delegation-action_boundary-010,mat,missing_delegation,action_boundary,data_resource_touch,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-missing_delegation-action_boundary-010,mat,missing_delegation,action_boundary,lifecycle_context,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-mat-missing_delegation-action_boundary-010,mat,missing_delegation,action_boundary,verification_strength,partial,True,construction_rule_oracle_a,partial,construction_rule_oracle_b,partial,True,False
manuscript-ieec-missing_delegation-policy_basis-011,ieec,missing_delegation,policy_basis,actor_identity,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-missing_delegation-policy_basis-011,ieec,missing_delegation,policy_basis,principal_authority,opaque,True,construction_rule_oracle_a,opaque,construction_rule_oracle_b,opaque,True,False
manuscript-ieec-missing_delegation-policy_basis-011,ieec,missing_delegation,policy_basis,action_boundary,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-missing_delegation-policy_basis-011,ieec,missing_delegation,policy_basis,policy_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-missing_delegation-policy_basis-011,ieec,missing_delegation,policy_basis,decision_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-missing_delegation-policy_basis-011,ieec,missing_delegation,policy_basis,data_resource_touch,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-missing_delegation-policy_basis-011,ieec,missing_delegation,policy_basis,lifecycle_context,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-ieec-missing_delegation-policy_basis-011,ieec,missing_delegation,policy_basis,verification_strength,partial,True,construction_rule_oracle_a,partial,construction_rule_oracle_b,partial,True,False
manuscript-dcc_hdp-missing_delegation-decision_basis-012,dcc_hdp,missing_delegation,decision_basis,actor_identity,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-missing_delegation-decision_basis-012,dcc_hdp,missing_delegation,decision_basis,principal_authority,opaque,True,construction_rule_oracle_a,opaque,construction_rule_oracle_b,opaque,True,False
manuscript-dcc_hdp-missing_delegation-decision_basis-012,dcc_hdp,missing_delegation,decision_basis,action_boundary,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-missing_delegation-decision_basis-012,dcc_hdp,missing_delegation,decision_basis,policy_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-missing_delegation-decision_basis-012,dcc_hdp,missing_delegation,decision_basis,decision_basis,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-missing_delegation-decision_basis-012,dcc_hdp,missing_delegation,decision_basis,data_resource_touch,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-missing_delegation-decision_basis-012,dcc_hdp,missing_delegation,decision_basis,lifecycle_context,complete,True,construction_rule_oracle_a,complete,construction_rule_oracle_b,complete,True,False
manuscript-dcc_hdp-missing_delegation-decision_basis-012,dcc_hdp,missing_delegation,decision_basis,verification_strength,partial,True,construction_rule_oracle_a,partial,construction_rule_oracle_b,partial,True,False
